order,publish_date,cluster,intent,title,target_keyword,target_length,template,medical_review,hands_on_testing,primary_internal_link_order,status,notes
1,2026-07-21,Guides,Informational,What Is Biohacking? An Evidence-Aware Beginner’s Guide,what is biohacking,1800,Pillar guide,Yes,No,—,Brief queued,Define scope; avoid promising lifespan extension.
2,2026-07-23,Supplements,Informational,"NAD+ Precursors Explained: NMN, NR, Evidence, and Uncertainty",NAD supplements,2200,Evidence guide,Yes,No,1,Brief queued,Regulatory and evidence status must be verified at publication.
3,2026-07-28,Wearables,Review,"Oura Ring 4 Review: Sleep Trends, Recovery Signals, and Limitations",Oura Ring 4 review,2400,Hands-on review,Yes,Yes,1,Brief queued,"Verify current firmware, pricing, and membership terms."
4,2026-07-30,Nutrition,Informational,Foods That Support Brain Health Across Adulthood,foods for brain health,1800,Evidence guide,Yes,No,1,Brief queued,Avoid brain-boosting outcome guarantees.
5,2026-08-04,Supplements,Commercial,Nootropic Stacks: What the Evidence Supports—and What It Does Not,best nootropics,2600,Comparison guide,Yes,No,1,Brief queued,No prescriptive stacks or dosage plans.
6,2026-08-06,Wearables,Review,"WHOOP Review: Recovery Coaching, Sleep Tracking, and Subscription Value",WHOOP review,2400,Hands-on review,Yes,Yes,3,Brief queued,Verify current hardware generation and plan terms.
7,2026-08-11,Nutrition,Informational,"Intermittent Fasting and Healthy Aging: Benefits, Risks, and Who Should Avoid It",intermittent fasting longevity,2200,Evidence guide,Yes,No,1,Brief queued,Include contraindications and eating-disorder cautions.
8,2026-08-13,Recovery,Commercial,Best Home Saunas: Infrared vs Traditional Models,best home sauna,2400,Tested comparison,Yes,Yes,1,Brief queued,Safety and electrical notes required.
9,2026-08-18,Sleep,Informational,How to Improve Sleep Naturally Before Buying Another Device,improve sleep naturally,2200,Action guide,Yes,No,1,Brief queued,Prioritize guideline-consistent practices.
10,2026-08-20,Wearables,Commercial,Best Fitness Trackers for Different Goals and Budgets,best fitness tracker,2500,Tested comparison,No,Yes,3,Brief queued,Current model verification required.
11,2026-08-25,Wearables,Review,Apple Watch Sleep Tracking Review: Useful Trends and Blind Spots,Apple Watch sleep tracking review,2200,Hands-on review,No,Yes,3,Brief queued,Verify current watchOS and supported models.
12,2026-08-27,Recovery,Informational,"Cold Plunge Benefits, Risks, and a Safer Setup",cold plunge benefits,2200,Safety guide,Yes,No,1,Brief queued,No unsupported immunity or fat-loss claims.
13,2026-09-01,Recovery,Commercial,"Red Light Therapy Devices: How to Compare Wavelength, Dose, and Claims",red light therapy device,2600,Buyer guide,Yes,Yes,1,Brief queued,Require measurements or disclose no lab validation.
14,2026-09-03,Guides,Informational,A Practical Morning Routine for Energy Without Wellness Theater,healthy morning routine,1700,Action guide,Yes,No,1,Brief queued,Avoid universal prescriptions.
15,2026-09-08,Supplements,Commercial,"Healthy-Aging Supplements: Evidence, Safety, and Marketing Red Flags",anti-aging supplements,2800,Evidence comparison,Yes,No,2,Brief queued,Do not present anti-aging as a proven outcome.
